Timestamp;jenis kelamin;  Saat ini Anda sedang menempuh semester berapa?  ;  Saat ini Anda sedang menempuh semester berapa?  ;Rata-rata berapa cangkir kopi yang Anda konsumsi per hari pada hari kuliah? ;Kapan biasanya Anda paling banyak mengonsumsi kopi? ;Apa alasan utama Anda minum kopi? (Boleh memilih lebih dari satu);Secara umum, berapa jam rata-rata waktu yang Anda habiskan untuk belajar mandiri atau mengerjakan tugas per hari?;" ""Kopi membantu saya untuk belajar dengan durasi yang lebih lama dari biasanya.""";Saya menjadi lebih mudah berkonsentrasi saat mempelajari materi kuliah.;Saya merasa lebih waspada secara mental dan tidak mudah mengantuk.;Saya merasa lebih produktif dan cepat dalam menyelesaikan tugas-tugas akademik.;Saya merasa nilai ujian atau kualitas tugas saya menjadi lebih baik.;Efek samping apa saja yang sering Anda rasakan setelah atau akibat mengonsumsi kopi? (Boleh memilih lebih dari satu, KECUALI jika Anda memilih opsi terakhir);"  A. ""Jika saya tidak minum kopi dalam sehari, saya menjadi sulit untuk fokus belajar.""  ";"B. ""Konsumsi kopi yang saya lakukan membuat kualitas tidur saya memburuk."" "
5/31/2026 21:25:28;perempuan;Semester 1-2;Semester 1-3;1 cangkir;Malam hari (Setelah jam 18.00);Agar tetap terjaga / menahan kantuk, Meningkatkan fokus dan konsentrasi belajar, Menambah energi / produktivitas akademik;5-7 jam;4;3;4;2;3;Jantung berdebar-debar (palpitasi), Perasaan gelisah, cemas, atau gugup;1;2
5/31/2026 21:25:52;perempuan;Semester 1-2;Semester 1-3;0 cangkir;Sore hari;gaada es teh;< 2 jam;3;3;3;3;3;Saya tidak pernah merasakan efek negatif apa pun;1;5
5/31/2026 21:27:56;laki laki;Semester 1-2;Semester 1-3;2 cangkir;Siang hari;Agar tetap terjaga / menahan kantuk, Meningkatkan fokus dan konsentrasi belajar, Menambah energi / produktivitas akademik, Kebiasaan pribadi / aktivitas sosial (nongkrong);2-4 jam;5;5;4;5;4;Saya tidak pernah merasakan efek negatif apa pun;4;2
5/31/2026 21:31:12;laki laki;Semester 1-2;Semester 1-3;0 cangkir;Pagi hari;tidak minum kopi;2-4 jam;3;4;3;4;3;Tidak merasakan efek negatif apa pun;5;3
5/31/2026 21:36:04;perempuan;Semester 1-2;Semester 1-3;0 cangkir;Siang hari;Menambah energi / produktivitas akademik;2-4 jam;2;3;3;4;3;Gangguan tidur / sulit tidur malam, Gangguan pencernaan / sakit perut / asam lambung naik;5;3
5/31/2026 21:37:39;perempuan;Semester 1-2;Semester 1-3;1 cangkir;Siang hari;Agar tetap terjaga / menahan kantuk, Menambah energi / produktivitas akademik;2-4 jam;4;4;4;4;4;Saya tidak pernah merasakan efek negatif apa pun;3;2
5/31/2026 21:40:13;perempuan;Semester 1-2;Semester 1-3;0 cangkir;Malam hari (Setelah jam 18.00);tidak suka kopi ;2-4 jam;3;3;3;3;3;Saya tidak pernah merasakan efek negatif apa pun;3;3
5/31/2026 21:40:23;perempuan;Semester 1-2;Semester 1-3;0 cangkir;Sore hari;Agar tetap terjaga / menahan kantuk, Meningkatkan fokus dan konsentrasi belajar;2-4 jam;4;3;3;3;3;Gangguan tidur / sulit tidur malam, Jantung berdebar-debar (palpitasi), Perasaan gelisah, cemas, atau gugup;2;3
5/31/2026 21:43:38;laki laki;Semester 1-2;Semester 1-3;1 cangkir;Siang hari;Agar tetap terjaga / menahan kantuk, Meningkatkan fokus dan konsentrasi belajar;2-4 jam;3;3;4;3;3;Saya tidak pernah merasakan efek negatif apa pun;2;1
5/31/2026 21:47:25;laki laki;Semester 1-2;Semester 1-3;2 cangkir;Malam hari (Setelah jam 18.00);Agar tetap terjaga / menahan kantuk, Kebiasaan pribadi / aktivitas sosial (nongkrong);5-7 jam;3;3;3;3;2;Gangguan tidur / sulit tidur malam, Perasaan gelisah, cemas, atau gugup;3;3
